pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_1,brand_2,num_puzzles,pieces_d1,pieces_d2,pieces_d3,pieces_d4,piece_count_pack,difficulty_rating_pack,w_pieces_diff_transformed,holdtime
Artifact Puzzles Joe Vaux Season Of The Rabbit Artifact Puzzles Justin Hillgrove Mad Tea Party,300,206,1,1,Artifact,Artifact,2,506,0,0,0,506,1,-1.3091995845600504,6.10561844288728
Wentworth Puzzles P.D. Moreno Cabin in the Woods ,1000,0,1,2,Wentworth,Wentworth,1,1000,0,0,0,1000,1,-0.2992575406712612,21.00753592722729
Artifact Puzzles Eric Joyner Tiger Mountain Artifact Puzzles APAK Fruit of Dreams,189,175,1,1,Artifact,Artifact,2,364,0,0,0,364,1,-1.7254392242045709,20.0403696683389
Artifact Puzzles Erin Hanson Dawning Saguaro Artifact Puzzles Kristian Adam Snoozies,418,413,2,2,Artifact,Artifact,2,0,831,0,0,831,2,0.6073376983003753,34.06719222601188
Ecru Puzzles Layers Of Afternoon Ecru Puzzles William Penhallow Henderson Luceros Place,287,385,2,1,Ecru,Ecru,2,385,287,0,0,672,1,-0.36773037610782033,45.08465552965201
Ecru Puzzles Aaron Wolf Twilight Treehouse of the Phosphorescent Forest Artifact Puzzles Methane Studios Dragon Moon,426,258,3,3,Artifact,Ecru,2,0,0,684,0,684,3,1.027966613201631,97.10092363074348
Artifact Puzzles Matte Stephens Central Park Fifth Avenue Artifact Puzzles APAK Celebrating Nature,439,412,2,3,Artifact,Artifact,2,0,439,412,0,851,2,1.0896348374337335,29.8239346468541
Artifact Puzzles Hokusai Dragon Artifact Puzzles Franz Marc 1912 Blue Horse,81,96,4,2,Artifact,Artifact,2,0,96,0,81,177,3,-1.2830913358004676,4.769832372825822
Artifact Puzzles Kevin Sloan Burden of Formality Artifact Puzzles Nadiezda Night Ship,432,283,2,2,Artifact,Artifact,2,0,715,0,0,715,2,0.3238487816772822,8.275867401197187
Artifact Puzzles Vikram Madan Social Distancing Ecru Puzzles Kristian Adam Galapalooga Bay,228,291,3,2,Artifact,Ecru,2,0,291,228,0,519,2,0.10375576059840895,5.808636941825255
Ecru Puzzles Hokusai Wave Ecru Puzzles Rachell Sumpter Wild Moor,327,260,2,1,Ecru,Ecru,2,260,327,0,0,587,1,-0.44523872960924094,3.008151595738565
Artifact Puzzles Some Enchanted Evening Artifact Puzzles Randal Spangler Fireside Fairytales,422,364,3,2,Artifact,Artifact,2,0,364,422,0,786,2,0.9691074697584203,6.019468716318518
Wentworth Puzzles Three Wise Men Whimsy Puzzles Second Date,250,350,1,1,Wentworth,Other-Laser-cut,2,600,0,0,0,600,1,-1.0764195969851362,6.094232564347049
Artifact Puzzles Dennis Brady Circles and Squares Artifact Puzzles Diego Mazzeo Mechanical Griffin,65,207,1,2,Artifact,Artifact,2,65,207,0,0,272,1,-1.3815090265863905,6.659496799120127
Artifact Puzzles Claire Henley Sailing Round The Mount Artifact Puzzles Angie Rees When Whales Set Sail,256,278,1,1,Artifact,Artifact,2,534,0,0,0,534,1,-1.2369590266947619,4.739455028589398
Nautilus Puzzles Once Upon a Fairytale ,428,0,1,2,Nautilus,Nautilus,1,428,0,0,0,428,1,-1.5261230330714146,5.750108527584838
Ecru Puzzles Allen Gilbert Cram Fishermans Cottage Artifact Puzzles Georgia Okeefe Reflections,158,205,2,3,Artifact,Ecru,2,0,158,205,0,363,2,-0.41565614493937225,12.811756926366993
Artifact Puzzles Carl Larsson Holiday Reading Artifact Puzzles Dove Of The Holy Spirit,163,88,2,3,Artifact,Artifact,2,0,163,88,0,251,2,-1.0999366203177663,10.50908449613036
Wentworth Puzzles Westminster at Christmas ,1000,0,2,2,Wentworth,Wentworth,1,0,1000,0,0,1000,2,0.9752504390137802,4.822704828973692
Artifact Puzzles Allie Sullberg Lets Dance Artifact Puzzles Kevin Sloan Welcome to the Wilderness,367,418,2,2,Artifact,Artifact,2,0,785,0,0,785,2,0.4983888236621213,4.635830837153252
Artifact Puzzles Hopwood-Wade Emu Afternoon Tea Artifact Puzzles Tomasz Pietrzyk Romeo And Juliet,346,424,1,1,Artifact,Artifact,2,770,0,0,0,770,1,-0.7124108592957237,2.04567535426956
Ecru Puzzles Franz Marc Cat Ecru Puzzles Patricia Hopwood-Wade Snowbirds,138,209,4,3,Ecru,Ecru,2,0,0,209,138,347,3,-0.02104714429205914,6.737305357109352
Artifact Puzzles Jonik Rapunzel Artifact Puzzles Jonik Troll Toll,411,365,1,1,Artifact,Artifact,2,776,0,0,0,776,1,-0.7006221004247918,7.90803761611463
Artifact Puzzles Tyson Grumm The Sleepover Artifact Puzzles Paul Bond The Yogi,405,310,1,1,Artifact,Artifact,2,715,0,0,0,715,1,-0.8235329233237091,7.908142463449294
Artifact Puzzles Karla Gerard Farmland Ecru Puzzles Van Gogh Almond Blossoms,154,210,1,4,Artifact,Ecru,2,154,0,0,210,364,2,-0.3091560071927164,48.7997775160627
Artifact Puzzles APAK Celebrating Nature Artifact Puzzles Angie Rees Precious Cargo,412,399,3,2,Artifact,Artifact,2,0,399,412,0,811,2,1.0098236341710245,45.8962078844861
Artifact Puzzles Van Gogh Boats Artifact Puzzles Rekunenko Charming Village,325,282,3,1,Artifact,Artifact,2,282,0,325,0,607,2,0.09112364005122696,23.058510960225384
Artifact Puzzles Great Robot Migration ,480,0,3,2,Artifact,Artifact,1,0,0,480,0,480,3,0.3366956847638468,36.05627125082987
Artifact Puzzles Joe Vaux Season Of The Rabbit Artifact Puzzles Justin Hillgrove Mad Tea Party,300,206,1,1,Artifact,Artifact,2,506,0,0,0,506,1,-1.3091995845600504,10.26525311745464
Artifact Puzzles Seurat Grande Jatte Artifact Puzzles Klimt The Kiss ,428,338,3,2,Artifact,Artifact,2,0,338,428,0,766,2,0.9340553574037946,13.39523678565816
DaVici Josephine Wall Winter Dreaming ,400,0,1,2,DaVici,DaVici,1,400,0,0,0,400,1,-1.610613799877047,15.115820477511308
"Wentworth Puzzles Zebo Ludvicek Birdcages Wentworth Puzzles Hyde Street View, San Francisco",500,250,2,2,Wentworth,Wentworth,2,0,750,0,0,750,2,0.4125178506240466,5.598021122425
Artifact Puzzles Tyson Grumm Slacking Pandas Artifact Puzzles Utagawa Kuniyoshi Cats,224,258,1,3,Artifact,Artifact,2,224,0,258,0,482,2,-0.30255248640013027,31.490462778211977
Artifact Puzzles Joe Vaux Garden Of Earthly Delights ,619,0,2,2,Artifact,Artifact,1,0,619,0,0,619,2,0.06425041722427771,1.8820922522570949
Artifact Puzzles Paul Bond Ode To A Zen Koan Artifact Puzzles John Henry Dearle Forest Tapestry,267,577,2,4,Artifact,Artifact,2,0,267,0,577,844,3,1.7350160642549077,33.048672281553635
DaVici Puzzles Red Shrimp DaVici Puzzles Inhabited Fish,165,130,1,1,DaVici,DaVici,2,295,0,0,0,295,1,-1.9694551481735634,12.80958023808758
Artifact Puzzles Justin Hillgrove Overwhelming Odds Artifact Puzzles Angie Rees Boobie Trapped,257,340,1,1,Artifact,Artifact,2,597,0,0,0,597,1,-1.0834462556648918,11.078286174416863
Artifact Puzzles Gavin Watson Creature Comforts Artifact Puzzles Kevin Sloan Fragile Habitat,322,360,1,1,Artifact,Artifact,2,682,0,0,0,682,1,-0.893051921043918,13.877760058494676
DaVici Puzzles Russian Tryptych ,1000,0,3,2,DaVici,DaVici,1,0,0,1000,0,1000,3,1.8596170998998247,9.918058438565067
Stave Puzzles Candy Thun Tropical Punch Whimsy Puzzles Lighthouse By The Sea,70,100,2,1,Stave,Other-Laser-cut,2,100,70,0,0,170,1,-2.1938813169443563,3.674656368813496
Artifact Puzzles Kathryn Freeman Lullaby For Lions Artifact Puzzles Jill Bennet Fantastic Mr. Fox,363,267,1,1,Artifact,Artifact,2,630,0,0,0,630,1,-1.007445388808925,14.921103287070313
Artifact Puzzles Vikram Madan Robot Creation Myth Artifact Puzzles Vikram Madan Physical Impossibility,382,292,2,1,Artifact,Artifact,2,292,382,0,0,674,1,-0.20878153379589617,9.906750013701794
Artifact Puzzles Yuri Gorbachev Two Cats Artifact Puzzles Vladstudio Owl Internet Cafe,314,204,1,2,Artifact,Artifact,2,314,204,0,0,518,1,-0.809071113271526,56.93668307456529
DaVici Red Book ,700,0,3,2,DaVici,DaVici,1,0,0,700,0,700,3,1.0758194445125582,68.00280171793841
Artifact Puzzles Joe Vaux Grass Is Greener Artifact Puzzles Justin Hillgrove Mad Tea Party,154,206,1,1,Artifact,Artifact,2,360,0,0,0,360,1,-1.7386720108802862,9.260145988941852
Ecru Puzzles Mystery Puzzle #18 Ecru Puzzles Scott Gustafson Belling The Cat,262,364,2,3,Ecru,Ecru,2,0,262,364,0,626,2,0.5533958107681397,46.76578019320591
Ecru Puzzles Ton Dubbeldam Provence Revisited Ecru Puzzles Mystery Puzzle #17,293,280,2,1,Ecru,Ecru,2,280,293,0,0,573,1,-0.5308596325095755,36.706756848005696
Ecru Puzzles Mystery Puzzle #21 Artifact Puzzles Allen Douglas The Kraken,181,219,2,3,Artifact,Ecru,2,0,181,219,0,400,2,-0.26817899626137537,17.020618408663474
Wentworth Puzzles Maureen Rupprecht Pencil Collage Wentworth Puzzles Fractal Geometry Olga Salt,280,229,3,4,Wentworth,Wentworth,2,0,0,280,229,509,3,0.7144573304093554,35.04629206070103
Artifact Puzzles Randal Spangler Technology Meltdown Artifact Puzzles Little Seamaid,167,74,1,1,Artifact,Artifact,2,241,0,0,0,241,1,-2.1895004877478375,50.79342138284996
Liberty Puzzles Phil Lewis Sugar Magnolia ,881,0,3,3,Liberty,Liberty,1,0,0,881,0,881,3,1.5711179090266911,52.68589263156109
Artifact Puzzles - William Glackens Cape Cod Pier Artifact Puzzles Julius LeBlanc Stewart Yachting,139,319,2,2,Artifact,Artifact,2,0,458,0,0,458,2,-0.4417389153981614,20.695044508417627
Wentworth Puzzles Rebecca McCulloch Harbour Houses ,1000,0,1,2,Wentworth,Wentworth,1,1000,0,0,0,1000,1,-0.2992575406712612,20.69559137006241
Artifact Puzzles Iwona Lifsches Poohsticks Artifact Puzzles Deccan Miniature,261,150,1,2,Artifact,Artifact,2,261,150,0,0,411,1,-1.1697223242291854,21.772622335228483
Artifact Puzzles Gore Icknield Way Artifact Puzzles Kevin Sloan The Gift Arrives,317,344,2,1,Artifact,Artifact,2,344,317,0,0,661,1,-0.335754098491338,10.139077880684352
