memberID,holdtime,puzzlepack,pack_name,piece_count_1,piece_count_2,difficulty_rating_1,difficulty_rating_2,brand_1,brand_2,num_puzzles
member3,15.484396661074236,Davici Puzzles When a Star was Born Davici Puzzles Last Summer Day,Davici Puzzles When a Star was Born Davici Puzzles Last Summer Day,130,190,1,2,DaVici,DaVici,2
member3,20.24099569572905,"Liberty Puzzles Brad Gorman Denver Cityscape Liberty Puzzles Herbert Hofer Rome, Italy","Liberty Puzzles Brad Gorman Denver Cityscape Liberty Puzzles Herbert Hofer Rome, Italy",469,478,1,1,Liberty,Liberty,2
member3,7.211038881743357,Unidragon Puzzles Fairy Bird Unidragon Puzzles Guarding Dragon,Unidragon Puzzles Fairy Bird Unidragon Puzzles Guarding Dragon,325,170,2,2,unknown,unknown,2
member3,56.46668449869826,DaVici Puzzles Millenium Tree ,DaVici Puzzles Millenium Tree ,1098,0,3,2,DaVici,DaVici,1
member3,67.22394636633754,Wentworth Puzzles Rebecca McCulloch Harbour Houses ,Wentworth Puzzles Rebecca McCulloch Harbour Houses ,1000,0,1,2,Wentworth,Wentworth,1
member3,5.393230239140035,"Davici Puzzles The Sailor Cat Davici Puzzles Elementary, My Dear Watson!","Davici Puzzles The Sailor Cat Davici Puzzles Elementary, My Dear Watson!",135,150,1,1,DaVici,DaVici,2
member3,24.09956415390442,Liberty Puzzles Phil Lewis Sunshine Daydream ,Liberty Puzzles Phil Lewis Sunshine Daydream ,902,0,3,2,Liberty,Liberty,1
member3,23.06658338849204,Davici Puzzles Dear Lady Winter Davici Puzzles Russian Circus,Davici Puzzles Dear Lady Winter Davici Puzzles Russian Circus,180,330,1,1,DaVici,DaVici,2
member3,15.496194312652651,DaVici Puzzles Anton Gorcevic I Had A Dream Once DaVici Puzzles Sergey Adeev Day and Night,DaVici Puzzles Anton Gorcevic I Had A Dream Once DaVici Puzzles Sergey Adeev Day and Night,350,280,1,1,DaVici,DaVici,2
member3,15.45361009466426,Artifact Puzzles Vikram Madan North Star Artifact Puzzles Barnard Dragon Mountain,Artifact Puzzles Vikram Madan North Star Artifact Puzzles Barnard Dragon Mountain,480,277,2,2,Artifact,Artifact,2
member3,65.9635429732889,Liberty Puzzles Maurice Prendergast The Grand Canal Ecru Puzzles Aaron Wolf The Kingdom,Liberty Puzzles Maurice Prendergast The Grand Canal Ecru Puzzles Aaron Wolf The Kingdom,498,214,3,2,Ecru,Liberty,2
member3,67.94477693254295,Liberty Puzzles Rebecca Cambell The Menagerie ,Liberty Puzzles Rebecca Cambell The Menagerie ,642,0,3,2,Liberty,Liberty,1
member3,27.361030356175466,Snowflake Puzzle Collage of 8 Classic National Parks Travel Posters Wongo Puzzles The Turtle,Snowflake Puzzle Collage of 8 Classic National Parks Travel Posters Wongo Puzzles The Turtle,500,207,1,1,Other-Hand-cut,Other-Hand-cut,2
member3,32.42241135030803,Artifact Puzzles Tom Kidd Dunne Estates Artifact Puzzles Old Venice Map,Artifact Puzzles Tom Kidd Dunne Estates Artifact Puzzles Old Venice Map,423,91,2,1,Artifact,Artifact,2
member3,60.34271115052306,Wentworth Puzzles Clair Rossiter Spring Market ,Wentworth Puzzles Clair Rossiter Spring Market ,1000,0,1,2,Wentworth,Wentworth,1
member3,10.12597966740868,Liberty Puzzles Linnea Pergola Machu Picchu ,Liberty Puzzles Linnea Pergola Machu Picchu ,670,0,2,2,Liberty,Liberty,1
member3,3.1521261602771298,"Nautilus Puzzles Mother Earth Nautilus Puzzles Antelope Canyon, Arizona","Nautilus Puzzles Mother Earth Nautilus Puzzles Antelope Canyon, Arizona",222,181,1,1,Nautilus,Nautilus,2
